Tool;Model;RunIndex;PhaseName;MetricName;MetricValue
NMF_MaxTypeChecks5;GeneratedI8O2Seed68.ttmodel;0;Load;Memory;87162880
NMF_MaxTypeChecks5;GeneratedI8O2Seed68.ttmodel;0;Initial;Time;1509808600
NMF_MaxTypeChecks5;GeneratedI8O2Seed68.ttmodel;0;Initial;Memory;171048960
NMF_MaxTypeChecks5;GeneratedI8O4Seed68.ttmodel;0;Initialization;Time;449659100
NMF_MaxTypeChecks5;GeneratedI8O4Seed68.ttmodel;0;Initialization;Memory;75497472
NMF_MaxTypeChecks5;GeneratedI8O4Seed68.ttmodel;0;Load;Time;134987600
NMF_MaxTypeChecks5;GeneratedI8O4Seed68.ttmodel;0;Load;Memory;89653248
NMF_MaxTypeChecks5;GeneratedI8O4Seed68.ttmodel;0;Initial;Time;1955202500
NMF_MaxTypeChecks5;GeneratedI8O4Seed68.ttmodel;0;Initial;Memory;170917888
NMF_MaxTypeChecks5;GeneratedI10O2Seed68.ttmodel;0;Initialization;Time;468037000
NMF_MaxTypeChecks5;GeneratedI10O2Seed68.ttmodel;0;Initialization;Memory;75366400
NMF_MaxTypeChecks5;GeneratedI10O2Seed68.ttmodel;0;Load;Time;508713400
NMF_MaxTypeChecks5;GeneratedI10O2Seed68.ttmodel;0;Load;Memory;144048128
NMF_MaxTypeChecks5;GeneratedI10O2Seed68.ttmodel;0;Initial;Time;5624504300
NMF_MaxTypeChecks5;GeneratedI10O2Seed68.ttmodel;0;Initial;Memory;309379072
NMF_MaxTypeChecks5;GeneratedI12O2Seed7634.ttmodel;0;Initialization;Time;432988300
NMF_MaxTypeChecks5;GeneratedI12O2Seed7634.ttmodel;0;Initialization;Memory;75235328
NMF_MaxTypeChecks5;GeneratedI12O2Seed7634.ttmodel;0;Load;Time;1925487300
NMF_MaxTypeChecks5;GeneratedI12O2Seed7634.ttmodel;0;Load;Memory;201256960
NMF_MaxTypeChecks5;GeneratedI12O2Seed7634.ttmodel;0;Initial;Time;39035092400
NMF_MaxTypeChecks5;GeneratedI12O2Seed7634.ttmodel;0;Initial;Memory;859676672
NMF_MaxTypeChecks5;GeneratedI14O4Seed7634.ttmodel;0;Initialization;Time;452937500
NMF_MaxTypeChecks5;GeneratedI14O4Seed7634.ttmodel;0;Initialization;Memory;75497472
NMF_MaxTypeChecks5;GeneratedI14O4Seed7634.ttmodel;0;Load;Time;7226898300
NMF_MaxTypeChecks5;GeneratedI14O4Seed7634.ttmodel;0;Load;Memory;383389696
NMF_MaxTypeChecks5;GeneratedI14O4Seed7634.ttmodel;0;Initial;Time;1568288549100
NMF_MaxTypeChecks5;GeneratedI14O4Seed7634.ttmodel;0;Initial;Memory;1996791808
NMF;GeneratedI4O2Seed42.ttmodel;1;Initialization;Time;712320000
NMF;GeneratedI4O2Seed42.ttmodel;1;Initialization;Memory;75628544
